insert;seq;offset;largura;coluna;ref_notice;formato;nome_notice;ancora_spool;confianca;oraculo;exemplos;expressao_spool
1;;388;50;P1_3_98;P1 3.98;ALPHA;Zone réservée locale;;FILLER;vazio;;RPAD(' ', 50)
1;;438;2;P1_21_1;P1 21.1;ALPHA;Indicateur Type de Restructuration;;FILLER;vazio;;RPAD(' ', 2)
1;26;440;8;P1_21_2;P1 21.2;DATE;Date de Restructuration;;MEDIA;ok;20170131 / 20200508;RPAD(NVL(TO_CHAR(C_ENR.DT_RESTRUCTURATION, 'YYYYMMDD'), ' '), 8)
1;27;448;1;P1_5_5;P1 5.5;ALPHA;Indicateur Arriéré de paiement;;MEDIA;ok;N;NVL(C_ENR.CD_ARR_PAIEMENT, 'N')
1;28;449;1;P1_4_1;P1 4.1;ALPHA;Indicateur Impayé prudentiel;;MEDIA;ok;N / Y;NVL(C_ENR.CD_IMP_PRUDENT, 'N')
1;29;450;1;P1_5_2;P1 5.2;ALPHA;Indicateur Engagement en défaut;;MEDIA;ok;N / Y;NVL(C_ENR.TOP_ENG_DOUTEUX, 'N')
1;30;451;8;P1_5_3;P1 5.3;DATE;Date de passage en engagement en défaut;;MEDIA;ok;20240715 / 20241203;Case When C_ENR.TOP_ENG_DOUTEUX = 'Y' then to_char(nvl(C_ENR.DT_ENG_DO
1;;459;1;P1_4_2;P1 4.2;NUM;Montant du solde de compte;;FILLER;vazio;;RPAD(' ',1)
1;;460;16;P1_4_2;P1 4.2;NUM;Montant du solde de compte;;FILLER;vazio;;RPAD(' ',16)
1;;476;2;P1_4_2;P1 4.2;NUM;Montant du solde de compte;P1 4.2;FILLER;vazio;;RPAD(' ',2)
1;31;478;3;P1_4_3;P1 4.3;ALPHA;Devise du montant du solde de compte;;MEDIA;ok;EUR;RPAD(NVL(C_ENR.CD_DEVISE_MNT_RISQ, 'EUR'), 3)
1;32;481;22;P1_4_4;P1 4.4;NUM;Montant du découvert;;BAIXA;vazio;;CASE WHEN C_ENR.CD_TYPE_RISQUE='TRE201' THEN '+0000000000000000'|| RPA
1;33;503;19;P1_4_9;P1 4.9;NUM;Montant du capital restant dû;;MEDIA;ok;+000000000000000000 / +000000000000001500;pack_utilitaire.f_format_montant_bis2(nvl((C_ENR.MNT_RISQUE),0))
1;34;522;3;P1_4_13;P1 4.13;ALPHA;Devise du montant du capital restant dû;;MEDIA;ok;EUR;RPAD(NVL(C_ENR.CD_DEVISE_MNT_RISQ, ' '), 3)
1;35;525;22;P1_4_14;P1 4.14;NUM;Montant des loyers;;BAIXA;incoerente;+000000000000000100EUR / +000000000000005814EUR;CASE WHEN C_ENR.CD_TYPE_RISQUE='TRE401' THEN RPAD(' ',22) ELSE pack_ut
1;;547;22;P1_4_16;P1 4.16;NUM;Montant du nominal de l'engagement;;FILLER;vazio;;RPAD (' ', 22)
1;36;569;12;P1_4_18;P1 4.18;ALPHA;Zone libre (Ex PCCO du montant demandé);;MEDIA;ok;A5171100     / A5231100    ;RPAD (nvl(C_ENR.PCCO_MNT_CRD,' '), 12)
1;37;581;19;P1_4_6;P1 4.6;NUM;Montant des intérêts restant dus;;MEDIA;ok;+000000000000000000;Case when (C_ENR.CD_TYPE_RISQUE LIKE 'TRE5%' OR C_ENR.CD_TYPE_RISQUE L
1;38;600;3;P1_4_7;P1 4.7;ALPHA;Devise du montant des intérêts restant dus;;MEDIA;ok;EUR;RPAD(NVL(C_ENR.CD_DEVISE_MNT_RISQ, ' '), 3)
1;39;603;12;P1_4_19;P1 4.19;ALPHA;Zone libre (Ex PCCO – des intérêts restant du;;MEDIA;ok;A5177100     / A5237100    ;RPAD(NVL(C_ENR.PCEC_ICNE, ' '), 12)
1;;615;10;P1_4_20;P1 4.20;NUM;Taux facial du prêt fixe;;FILLER;vazio;;RPAD (' ', 10)
1;40;625;19;P1_4_21;P1 4.21;NUM;Montant de la décote sur actif déprécié à l'a;;MEDIA;ok;+000000000000000000 / +000000000000000100;CASE WHEN C_ENR.MNT_VTR IS null THEN RPAD (' ', 19) ELSE pack_utilitai
1;41;644;3;P1_4_22;P1 4.22;ALPHA;Devise du montant de la décote sur actif dépr;;MEDIA;ok;EUR;CASE WHEN C_ENR.MNT_VTR IS null THEN RPAD (' ', 3) ELSE 'EUR' END
1;42;647;2;P1_4_23;P1 4.23;ALPHA;Circuit de distribution;;MEDIA;ok;CL;RPAD (nvl(C_ENR.CD_CIRCUIT_DISTRIB, 'CL'),2)
1;;649;61;P1_5_6;P1 5.6;ALPHA;Indicateur 'Prêt Revolving Roll-over';;FILLER;vazio;;RPAD (' ', 61)
1;43;710;1;P1_3_46;P1 3.46;ALPHA;Usage du bien immobilier apporté en garantie;;MEDIA;ok;0 / 2;NVL(C_ENR.CD_USAGE_BIEN_IMM,' ')
1;44;711;1;P1_3_47;P1 3.47;ALPHA;Respect des conditions réglementaires;;MEDIA;ok;Y;NVL(C_ENR.CD_RESPECT_COND, ' ')
1;45;712;19;P1_3_40;P1 3.40;NUM;Valeur de marché du bien immobilier loué à la;;MEDIA;ok;+000000000000000100 / +000000000028520890;Case when C_ENR.CD_TYPE_RISQUE = 'TRE502' then pack_utilitaire.f_forma
1;46;731;3;P1_3_41;P1 3.41;ALPHA;Devise de la valeur de marché du bien immobil;;MEDIA;ok;EUR;Case when C_ENR.CD_TYPE_RISQUE = 'TRE502' then RPAD(C_ENR.CD_DEV_VTR,3
1;47;734;19;P1_3_42;P1 3.42;NUM;Valeur hypothécaire du bien immobilier loué à;;MEDIA;ok;+000000000000000100 / +000000000028520890;Case when C_ENR.CD_TYPE_RISQUE = 'TRE502' then pack_utilitaire.f_forma
1;48;753;3;P1_3_43;P1 3.43;ALPHA;Devise de la valeur hypothécaire du bien immo;;MEDIA;ok;EUR;Case when C_ENR.CD_TYPE_RISQUE = 'TRE502' then RPAD(C_ENR.CD_DEV_HYPOT
1;49;756;2;P1_3_44;P1 3.44;ALPHA;Zone libre (Ex Localisation du bien immobilie;;MEDIA;ok;FR;RPAD(nvl(C_ENR.CD_LOC_BIEN, ' '), 2,' ')
1;50;758;1;P1_3_45;P1 3.45;ALPHA;Achat en fin de contrat du bien loué;;MEDIA;ok;1 / 2;C_ENR.CD_ACHAT_FIN_LOC
1;51;759;19;P1_5_19;P1 5.19;NUM;Valeur estimée en fin de période du bien loué;;MEDIA;ok;+000000000000000000 / +000000000000000001;Case when nvl(C_ENR.MNT_VR,0) >= 0 then pack_utilitaire.f_format_monta
1;52;778;3;P1_5_20;P1 5.20;ALPHA;Devise de la valeur estimée en fin de période;;MEDIA;ok;EUR;RPAD(nvl(C_ENR.CD_DEVISE_VR,'EUR'),3)
1;53;781;3;P1_19_5;P1 19.5;ALPHA;Classification comptable de référence des act;;MEDIA;ok;CAM;RPAD(nvl(C_ENR.cla_comp_ref_act,' '),3)
1;;784;185;P1_3_56;P1 3.56;ALPHA;Zone libre (Ex PCCO – Valeur du titre en norm;P1 3.56;FILLER;vazio;;RPAD(' ', 185)
1;54;969;20;P1_2_99;P1 2.99;ALPHA;Code méthode IFRS9 - PD à l'origine;P1 2.99;ALTA;ok;LC_MIG_D+            / PME_MIG_C-          ;RPAD(NVL(C_ENR.CD_METH_IFRS9_PD_ORIG,' '), 20)
1;;989;354;P1_3_80;P1 3.80;NUM;Montant du Mark-to-Market (MtM) brut;P1 3.80;FILLER;vazio;;RPAD(' ', 354)
1;;1343;1;P1_16_20;P1 16.20;ALPHA;Indicateur titrisation STS;;FILLER;vazio;;RPAD(' ', 1)
1;;1344;1;P1_16_21;P1 16.21;ALPHA;Eligibilité au traitement différentiel;;FILLER;vazio;;RPAD(' ', 1)
1;;1345;1;P1_16_22;P1 16.22;ALPHA;Position sénior en titrisation des PME;;FILLER;vazio;;RPAD(' ', 1)
1;;1346;2;P1_16_23;P1 16.23;ALPHA;Motif titrisation ERBA;;FILLER;vazio;;RPAD(' ', 2)
1;;1348;3;P1_16_99;P1 16.99;ALPHA;Filler;;FILLER;vazio;;RPAD(' ', 3)
1;55;1351;1;P1_4_31;P1 4.31;ALPHA;Indicateur Produit à sous-jacent;P1 4.31;ALTA;ok;N;RPAD(C_ENR.IND_PROD_SS_JACENT, 1,' ')
1;;1352;38;P1_4_32;P1 4.32;ALPHA;Indicateur de granularité;;FILLER;vazio;;RPAD (' ', 38)
1;;1390;1;P1_4_49;P1 4.49;ALPHA;Indicateur d'engagement de valeur minimale su;;FILLER;vazio;;RPAD(' ', 1)
1;;1391;4;P1_4_99;P1 4.99;ALPHA;Filler;;FILLER;vazio;;RPAD(' ', 4)
1;;1395;24;P1_4_45;P1 4.45;ALPHA;NATure d'Opération des intérêts dus / coupons;;FILLER;vazio;;RPAD (' ', 24)
1;56;1419;6;P1_3_20;P1 3.20;NUM;Maturité résiduelle;;MEDIA;ok;000000 / 000383;Substr(pack_utilitaire.F_FORMAT_TAUX (nvl(C_ENR.MATURITE_EFF,0)) ,4,6)
1;57;1425;1;P1_4_8;P1 4.8;ALPHA;Indicateur bilan hors bilan;P1 4.8;ALTA;ok;B;NVL(C_ENR.TOP_ENG,'B')
1;;1426;5;P1_12_16;P1 12.16;ALPHA;Code séniorité;;FILLER;vazio;;RPAD (' ', 5)
1;58;1431;6;P1_4_42;P1 4.42;ALPHA;Type de produit bancaire;;MEDIA;ok;CRED03 / CRED10;RPAD(nvl(C_ENR.CD_TYPE_PROD_BANCAIRE,' '),6,' ')
1;59;1437;8;P1_3_3;P1 3.3;DATE;Date de valeur de prise d'effet du contrat;;MEDIA;ok;20250630;RPAD(nvl(TO_CHAR(C_ENR.DT_ARRETE, 'YYYYMMDD'),' '),8)
1;;1445;7;P1_4_43;P1 4.43;ALPHA;Segment de notation du groupe de risque;;FILLER;vazio;;RPAD (' ', 7)
1;60;1452;8;P1_4_47;P1 4.47;DATE;Date de mise à disposition des fonds;;MEDIA;ok;20081203 / 20120130;RPAD(NVL(TO_CHAR(C_ENR.DT_DISPO_FONDS, 'YYYYMMDD'), ' '), 8)
1;;1460;1;P1_5_99;P1 5.99;ALPHA;Filler;;FILLER;vazio;;RPAD (' ', 1)
1;;1461;60;P1_3_62;P1 3.62;ALPHA;Identifiant local du tiers Garant des titres ;;FILLER;vazio;;RPAD (' ', 60)
1;;1521;74;P1_4_25;P1 4.25;NUM;Montant du Add-on affacturage;;FILLER;vazio;;RPAD (' ', 74)
1;61;1595;1;P1_4_29;P1 4.29;ALPHA;Indicateur créance titrisée;;MEDIA;ok;N;Case when (C_ENR.CD_TYPE_RISQUE LIKE 'TRE2%' OR C_ENR.CD_TYPE_RISQUE L
1;;1596;3;P1_4_40;P1 4.40;ALPHA;Identifiant du Fonds Commun de Titrisation (S;;FILLER;vazio;;RPAD (' ', 3)
1;;1599;1;P1_4_41;P1 4.41;ALPHA;Mode de Titrisation;;FILLER;vazio;;RPAD (' ', 1)
1;;1600;1;P1_4_48;P1 4.48;ALPHA;Indicateur créance titrisée SRT;;FILLER;vazio;;RPAD (' ', 1)
1;;1601;45;P1_4_98;P1 4.98;ALPHA;Zone réservée TRUE SALE;;FILLER;vazio;;RPAD (' ', 45)
1;;1646;10;P1_8_99;P1 8.99;ALPHA;Filler;;FILLER;vazio;;RPAD (' ', 10)
1;;1656;35;P1_4_38;P1 4.38;ALPHA;Indicateur autonomie patrimoniale de l'actif ;;FILLER;vazio;;RPAD (' ', 35)
1;;1691;466;P1_12_3;P1 12.3;ALPHA;Référence du titre sous-jacent;;FILLER;vazio;;RPAD (' ', 466)
1;62;2157;1;P1_21_3;P1 21.3;ALPHA;Evénement de crédit;P1 21.3;ALTA;ok;1 / 2;RPAD(nvl(C_ENR.EVENMT_CRDT,' '),1)
1;63;2158;1;P1_21_4;P1 21.4;ALPHA;Nature Contextuelle au moment de l'évènement ;;MEDIA;ok;1 / 5;RPAD(nvl(C_ENR.NAT_CONT_EVENMT_CRDT,' '),1)
1;64;2159;1;P1_21_5;P1 21.5;ALPHA;Statut du crédit au sens de la Forbearance;;MEDIA;ok;4;RPAD(nvl(C_ENR.STA_CRDT,' '),1)
1;65;2160;2;P1_21_6;P1 21.6;ALPHA;Indicateur créance performante;;MEDIA;ok;NP / PE;RPAD(nvl(C_ENR.IND_CRE_PERF,' '),2)
1;66;2162;8;P1_21_7;P1 21.7;DATE;Date de première action de forbearance;;MEDIA;vazio;;RPAD (NVL(TO_CHAR(C_ENR.DATE_PREM_ACT_FORB, 'YYYYMMDD'), ' '), 8)
1;67;2170;8;P1_21_8;P1 21.8;DATE;Date de dernière restructuration commerciale;;MEDIA;ok;20170131 / 20200508;RPAD(NVL(TO_CHAR(C_ENR.DATE_DER_REST_COMM, 'YYYYMMDD'), ' '), 8)
1;68;2178;8;P1_21_9;P1 21.9;DATE;Date de la dernière restructuration pour risq;;MEDIA;ok;20240831;RPAD(NVL(TO_CHAR(C_ENR.DATE_DER_REST_RSQ, 'YYYYMMDD'), ' '), 8)
1;69;2186;8;P1_21_10;P1 21.10;DATE;Date d'entrée de la créance en période d'obse;;MEDIA;vazio;;RPAD(NVL(TO_CHAR(C_ENR.DATE_ENTR_PER_PURG, 'YYYYMMDD'), ' '), 8)
1;70;2194;8;P1_21_11;P1 21.11;DATE;Date de sortie de la créance de la période d';;MEDIA;vazio;;RPAD(NVL(TO_CHAR(C_ENR.DATE_SORT_PER_PURG, 'YYYYMMDD'), ' '), 8)
1;71;2202;8;P1_21_12;P1 21.12;DATE;Date d'entrée de la créance en période probat;;MEDIA;ok;20240831;RPAD(NVL(TO_CHAR(C_ENR.DATE_ENTR_PER_PROB, 'YYYYMMDD'), ' '), 8)
1;72;2210;8;P1_21_13;P1 21.13;DATE;Date de sortie de la créance de la période pr;;MEDIA;ok;20260831;RPAD(NVL(TO_CHAR(C_ENR.DATE_SORT_PER_PROB, 'YYYYMMDD'), ' '), 8)
1;73;2218;8;P1_21_14;P1 21.14;DATE;Date théorique de fin de situation forborne;;MEDIA;vazio;;RPAD(NVL(TO_CHAR(C_ENR.DATE_THEO_FIN_FORB, 'YYYYMMDD'), ' '), 8)
1;74;2226;8;P1_21_15;P1 21.15;DATE;Date de sortie effective de situation forborn;;MEDIA;ok;20250228;RPAD(NVL(TO_CHAR(C_ENR.DATE_SORT_EFF_FORB, 'YYYYMMDD'), ' '), 8)
1;75;2234;8;P1_21_16;P1 21.16;DATE;Date de début de l'état de performance de la ;;MEDIA;ok;20081203 / 20120130;RPAD(NVL(TO_CHAR(C_ENR.DT_PL_NPL, 'YYYYMMDD'), ' '), 8)
1;;2242;2;P1_21_17;P1 21.17;ALPHA;Zone libre (ex Motif de l'état de performance;;FILLER;vazio;;RPAD (' ', 2)
1;;2244;2;P1_21_18;P1 21.18;NUM;Nombre de restructuration pour risque;;FILLER;vazio;;RPAD (' ', 2)
1;;2246;2;P1_21_19;P1 21.19;ALPHA;Méthode de restructuration;;FILLER;vazio;;RPAD (' ', 2)
1;;2248;2;P1_21_99;P1 21.99;ALPHA;Filler;;FILLER;vazio;;RPAD (' ', 2)
1;76;2250;3;P1_22_56;P1 22.56;ALPHA;Indicateur produit échéancé;P1 22.56;ALTA;ok;ECH;RPAD(nvl(C_ENR.IND_PROD_ECH,' '),3)
1;77;2253;1;P1_22_57;P1 22.57;ALPHA;Indicateur objet métier palier fourni;;MEDIA;ok;N;RPAD(nvl(C_ENR.IND_OBJ_MET_PAL,' '),1)
1;78;2254;40;P1_22_1;P1 22.1;ALPHA;Référence unique du contrat;;MEDIA;ok;200622VM0                                / 202878FN0                               ;RPAD(nvl(C_ENR.REF_UNIQ_ELEM_CONT,' '),40)
1;79;2294;40;P1_22_51;P1 22.51;ALPHA;Référence Unique de l'élément du contrat;;MEDIA;ok;200622VM0                                / 202878FN0                               ;RPAD(nvl(C_ENR.REF_UNIQ_ELEM_CONT,' '),40)
1;;2334;45;P1_22_2;P1 22.2;ALPHA;Indicateur niveau de risque;;FILLER;vazio;;RPAD (' ', 45)
1;80;2379;2;P1_22_5;P1 22.5;ALPHA;Note finale retenue à l'origine;P1 22.5;ALTA;ok;A  / A+;RPAD(nvl(C_enr.NOTE_FIN_RET_ORI, 'ND'),2)
1;81;2381;10;P1_22_52;P1 22.52;ALPHA;Note externe à l'origine;;MEDIA;vazio;;RPAD(nvl(C_ENR.NOTE_EXT_ORI,' '),10)
1;82;2391;2;P1_22_6;P1 22.6;ALPHA;Organisme de notation à l'origine;;MEDIA;ok;I ;RPAD(nvl(C_ENR.ORGA_NOTATION_ORIG,' '),2,' ')
1;83;2393;2;P1_22_53;P1 22.53;ALPHA;Segment de notation à l'origine;;MEDIA;ok;02 / 03;RPAD(nvl(C_ENR.SEG_NOT_ORI,' '),2)
1;84;2395;46;P1_22_54;P1 22.54;ALPHA;Grille Modèle de notation à l'origine;;MEDIA;ok;044102011071320130114FR                        / 044102011071320150930FR                       ;CASE WHEN C_ENR.GRI_MOD_NOT_ORI IS NULL THEN RPAD(' ',46) ELSE RPAD(nv
1;85;2441;3;P1_22_55;P1 22.55;ALPHA;Méthodologie de notation à l'origine;;MEDIA;ok;999 / C1 ;CASE WHEN C_ENR.METH_NOT_ORI = 'C3' THEN '999' ELSE RPAD(upper(nvl(C_E
1;86;2444;2;P1_22_7;P1 22.7;ALPHA;Objet du financement;P1 22.7;ALTA;ok;04 / 97;RPAD(nvl(C_ENR.OBJ_FINANCIE,'97'),2)
1;87;2446;19;P1_22_8;P1 22.8;NUM;Montant du contrat à l'origine;P1 22.8;ALTA;ok;+000000000000000000 / +000000000000040419;pack_utilitaire.F_FORMAT_MONTANT_BIS2(C_ENR.MNT_CONTRAT_ORIGINE)
1;88;2465;3;P1_22_9;P1 22.9;ALPHA;Devise du montant du contrat à l'origine;P1 22.9;ALTA;ok;EUR;RPAD(nvl(C_ENR.DEV_MNT_CONTRAT_ORIGINE, 'EUR'), 3)
1;89;2468;1;P1_22_12;P1 22.12;ALPHA;Indicateur échéancier fourni;;MEDIA;ok;N;RPAD(nvl(C_ENR.IND_ECH_FOUR,' '),1)
1;90;2469;10;P1_22_13;P1 22.13;NUM;Taux d'intérêt effectif (TIE) à l'origine;;MEDIA;ok;+000000000 / +000028000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_INT_EFF_ORI)
1;91;2479;1;P1_22_14;P1 22.14;ALPHA;Type de taux;;MEDIA;ok;F / V;RPAD(nvl(C_ENR.TYPE_TAUX,' '),1)
1;92;2480;12;P1_22_15;P1 22.15;ALPHA;Indice de référence;;MEDIA;ok;EUEI3M      ;RPAD(nvl(C_ENR.IND_REF,' '),12)
1;93;2492;1;P1_22_16;P1 22.16;ALPHA;Type d'amortissement du capital;;MEDIA;ok;L;RPAD(nvl(C_ENR.TYPE_AMOR_CAP,' '),1)
1;94;2493;1;P1_22_17;P1 22.17;ALPHA;Fréquence d'amortissement du capital;;MEDIA;ok;M;RPAD(nvl(C_ENR.PRD_AMOR_CAP,' '),1)
1;95;2494;1;P1_22_18;P1 22.18;ALPHA;Fréquence de paiement des intérêts;;MEDIA;ok;M;RPAD(nvl(C_ENR.PRD_PMT_INT,' '),1)
1;96;2495;10;P1_22_19;P1 22.19;NUM;Taux client à l'octroi;;MEDIA;ok;+000000000 / +000028000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_CLT_OCT)
1;97;2505;1;P1_22_20;P1 22.20;ALPHA;Modalité de remboursement de la créance;;MEDIA;ok;1;RPAD(nvl(C_ENR.MOD_REMB_CRE,' '),1)
1;98;2506;8;P1_22_21;P1 22.21;DATE;Date de première échéance;;MEDIA;ok;20081203 / 20120130;RPAD(NVL(TO_CHAR(C_ENR.DATE_PREM_ECH, 'YYYYMMDD'), ' '), 8)
1;99;2514;8;P1_22_22;P1 22.22;DATE;Date de fin du différé d'amortissement;;MEDIA;vazio;;RPAD(NVL(TO_CHAR(C_ENR.DATE_FIN_DIFF_AMOR, 'YYYYMMDD'), ' '), 8)
1;100;2522;10;P1_22_23;P1 22.23;NUM;Taux plafond;P1 22.23;ALTA;ok;+000000000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_PLAFOND)
1;101;2532;10;P1_22_24;P1 22.24;NUM;Taux plancher;;MEDIA;ok;+000000000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_PLANCHER)
1;102;2542;1;P1_22_25;P1 22.25;ALPHA;Fréquence de révision du taux;;MEDIA;ok;M;RPAD(nvl(C_ENR.PRD_REV_TAUX_UNIT_TMP,' '),1)
1;103;2543;3;P1_22_26;P1 22.26;NUM;Périodicité de révision du taux en nombre;;MEDIA;ok;000 / 001;LPAD(nvl((C_ENR.PRD_REV_TAUX_NBR),0),3,0)
1;104;2546;10;P1_22_27;P1 22.27;NUM;Taux client de la période en cours;;MEDIA;ok;+000000000 / +000028000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_CLT_PRD_EN_CRS)
1;105;2556;10;P1_22_28;P1 22.28;NUM;Taux de marge additive;;MEDIA;ok;+000000000 / +000105000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_MRG_ADD)
1;106;2566;10;P1_22_29;P1 22.29;NUM;Taux de marge multiplicative;;MEDIA;ok;+000000000;pack_utilitaire.F_FORMAT_TAUX(C_ENR.TAUX_MRG_MULT)
1;107;2576;7;P1_22_30;P1 22.30;ALPHA;Base de calcul des intérêts;;MEDIA;ok;EXA-360 / EXB-EXB;RPAD(nvl(C_ENR.BASE_CAL_INT,' '),7)
1;108;2583;8;P1_22_31;P1 22.31;DATE;Date du premier déblocage de fonds;;MEDIA;ok;20081203 / 20120130;RPAD(NVL(TO_CHAR(C_ENR.DT_PREM_DBLQ_FONDS, 'YYYYMMDD'), ' '), 8)
1;109;2591;19;P1_22_32;P1 22.32;NUM;Montant du premier déblocage de fonds;;MEDIA;ok;+000000000000041631 / +000000000000080816;case when C_ENR.MNT_PREM_DBLQ_FONDS is null then RPAD(' ',19) else pac
1;110;2610;3;P1_22_33;P1 22.33;ALPHA;Devise du montant du premier déblocage de fon;;MEDIA;ok;EUR;RPAD(nvl(C_ENR.DEVISE_PREM_DBLQ_FONDS,'EUR'),3)
